Author,Laser_Power_W,Scan_Speed_mm_s,Hatch_Distance_mm,Layer_Thickness_mm,Surface_Roughness_um
Han,200,600,0.04,0.02,7.4
Han,200,800,0.04,0.02,6.5
Han,200,1000,0.04,0.02,11.8
Han,200,1200,0.04,0.02,16.0
Han,200,1400,0.04,0.02,10.4
Han,200,1600,0.04,0.02,10.6
Han,200,1800,0.04,0.02,14.6
Han,200,2000,0.04,0.02,10.7
Han,200,2200,0.04,0.02,8.6
Han,200,2400,0.04,0.02,18.4
Han,200,2600,0.04,0.02,12.4
Han,200,2800,0.04,0.02,12.5
Han,200,3000,0.04,0.02,12.2
Han,200,600,0.06,0.02,6.4
Han,200,800,0.06,0.02,6.6
Han,200,1000,0.06,0.02,13.5
Han,200,1200,0.06,0.02,13.8
Han,200,1400,0.06,0.02,12.8
Han,200,1600,0.06,0.02,15.0
Han,200,1800,0.06,0.02,18.8
Han,200,2000,0.06,0.02,19.0
Han,200,2200,0.06,0.02,17.8
Han,200,2400,0.06,0.02,14.2
Han,200,2600,0.06,0.02,17.3
Han,200,2800,0.06,0.02,15.4
Han,200,3000,0.06,0.02,10.9
Han,200,600,0.08,0.02,5.4
Han,200,800,0.08,0.02,14.3
Han,200,1000,0.08,0.02,15.4
Han,200,1200,0.08,0.02,9.3
Han,200,1400,0.08,0.02,13.2
Han,200,1600,0.08,0.02,14.4
Han,200,1800,0.08,0.02,11.7
Han,200,2000,0.08,0.02,10.5
Han,200,2200,0.08,0.02,14.3
Han,200,2400,0.08,0.02,19.8
Han,200,2600,0.08,0.02,17.3
Han,200,2800,0.08,0.02,16.5
Han,200,3000,0.08,0.02,22.8
Han,200,600,0.1,0.02,8.4
Han,200,800,0.1,0.02,8.8
Han,200,1000,0.1,0.02,8.9
Han,200,1200,0.1,0.02,7.3
Han,200,1400,0.1,0.02,6.2
Han,200,1600,0.1,0.02,4.9
Han,200,1800,0.1,0.02,13.2
Han,200,2000,0.1,0.02,11.2
Han,200,2200,0.1,0.02,20.9
Han,200,2400,0.1,0.02,16.7
Han,200,2600,0.1,0.02,7.4
Han,200,2800,0.1,0.02,9.0
Han,200,3000,0.1,0.02,6.3
Pei,180,800,0.05,0.04,14.2
Pei,180,1000,0.05,0.04,11.1
Pei,180,1400,0.05,0.04,20.2
Kempen,170,800,0.105,0.03,23.9
Kempen,170,1000,0.105,0.03,24.0
Kempen,170,1200,0.105,0.03,23.2
Kempen,170,1400,0.105,0.03,21.9
Kempen,170,1600,0.105,0.03,23.9
Kempen,180,900,0.105,0.03,21.6
Kempen,180,1100,0.105,0.03,21.4
Kempen,180,1300,0.105,0.03,20.8
Kempen,180,1400,0.105,0.03,20.9
Kempen,180,1500,0.105,0.03,26.1
Kempen,190,800,0.105,0.03,26.2
Kempen,190,1000,0.105,0.03,19.4
Kempen,190,1200,0.105,0.03,17.8
Kempen,190,1400,0.105,0.03,21.1
Kempen,190,1600,0.105,0.03,23.0
Kempen,200,1100,0.105,0.03,16.4
Kempen,200,1200,0.105,0.03,17.7
Kempen,200,1300,0.105,0.03,18.2
Kempen,200,1400,0.105,0.03,20.9
Poncelet,274,200,0.1,0.03,14.3
Poncelet,246,200,0.1,0.03,12.8
Poncelet,219,200,0.1,0.03,7.3
Poncelet,205,200,0.1,0.03,5.9
Poncelet,164,200,0.1,0.03,8.6
Poncelet,137,200,0.1,0.03,12.5
Poncelet,109,200,0.1,0.03,13.2
Poncelet,273,200,0.1,0.03,14.3
Poncelet,273,300,0.1,0.03,9.9
Poncelet,273,400,0.1,0.03,4.5
Poncelet,273,500,0.1,0.03,4.8
Poncelet,273,800,0.1,0.03,8.4
Poncelet,273,1000,0.1,0.03,9.0
Poncelet,273,1200,0.1,0.03,7.5
Poncelet,273,1500,0.1,0.03,7.0
